video,frame,person_id,auc,avg_l2,min_l2
002,002382.jpg,1,0.9909,0.0521,0.0521
002,002383.jpg,1,0.9922,0.0492,0.0492
002,002384.jpg,1,0.9371,0.1476,0.1476
002,002432.jpg,1,0.9959,0.065,0.065
002,002433.jpg,1,0.9969,0.6061,0.6061
002,002434.jpg,1,0.9961,0.605,0.605
002,002435.jpg,1,0.9939,0.6085,0.6085
004,004000.jpg,1,0.8171,0.3212,0.3212
004,004000.jpg,2,0.9796,0.0263,0.0263
004,004001.jpg,1,0.8254,0.319,0.319
004,004001.jpg,2,0.9862,0.0205,0.0205
004,004002.jpg,1,0.8342,0.3193,0.3193
004,004002.jpg,2,0.9877,0.0164,0.0164
004,004003.jpg,1,0.8247,0.2895,0.2895
004,004003.jpg,2,0.9948,0.0167,0.0167
004,004004.jpg,1,0.8308,0.2875,0.2875
004,004004.jpg,2,0.9887,0.0174,0.0174
004,004005.jpg,2,0.9867,0.0873,0.0873
004,004006.jpg,2,0.9883,0.0167,0.0167
004,004007.jpg,2,0.9899,0.06,0.06
004,004008.jpg,2,0.9954,0.0597,0.0597
004,004009.jpg,2,0.9979,0.0153,0.0153
004,004010.jpg,2,0.9982,0.0153,0.0153
004,004011.jpg,2,0.9978,0.0141,0.0141
004,004012.jpg,2,0.997,0.0141,0.0141
004,004013.jpg,2,0.9949,0.0141,0.0141
004,004014.jpg,2,0.9947,0.0149,0.0149
004,004015.jpg,1,0.8954,0.3061,0.3061
004,004015.jpg,2,0.995,0.0141,0.0141
004,004016.jpg,1,0.9083,0.2974,0.2974
004,004016.jpg,2,0.9932,0.0141,0.0141
004,004017.jpg,1,0.9072,0.2957,0.2957
004,004017.jpg,2,0.9918,0.0149,0.0149
004,004018.jpg,1,0.9084,0.2973,0.2973
004,004018.jpg,2,0.9919,0.0156,0.0156
004,004019.jpg,1,0.9079,0.295,0.295
004,004019.jpg,2,0.9923,0.016,0.016
004,004020.jpg,1,0.9046,0.2634,0.2634
004,004020.jpg,2,0.9967,0.0152,0.0152
004,004021.jpg,1,0.9103,0.296,0.296
004,004021.jpg,2,0.9945,0.0158,0.0158
004,004022.jpg,1,0.909,0.2965,0.2965
004,004022.jpg,2,0.9969,0.0152,0.0152
004,004023.jpg,1,0.906,0.2641,0.2641
004,004023.jpg,2,0.9976,0.016,0.016
004,004024.jpg,1,0.9064,0.2979,0.2979
004,004024.jpg,2,0.9963,0.0149,0.0149
004,004025.jpg,1,0.9031,0.2977,0.2977
004,004025.jpg,2,0.9964,0.015,0.015
004,004026.jpg,1,0.9,0.2697,0.2697
004,004026.jpg,2,0.9964,0.0158,0.0158
004,004027.jpg,1,0.9025,0.291,0.291
004,004027.jpg,2,0.9966,0.0709,0.0709
004,004028.jpg,1,0.8911,0.2598,0.2598
004,004028.jpg,2,0.9952,0.0702,0.0702
